0. ay:-0.0049, gx:+0.0144
1. ay:-0.0063, gx:+0.0104
2. ay:-0.0005, gx:+0.0107
3. ay:-0.0039, gx:+0.0101
4. ay:-0.0081, gx:+0.0103
5. ay:-0.0063, gx:+0.0123
6. ay:-0.0049, gx:+0.0124
7. ay:-0.0115, gx:+0.0100
8. ay:-0.0059, gx:+0.0147
9. ay:-0.0051, gx:+0.0129
10. ay:-0.0037, gx:+0.0128
11. ay:-0.0125, gx:+0.0103
12. ay:-0.0090, gx:+0.0096
13. ay:-0.0112, gx:+0.0113
14. ay:-0.0059, gx:+0.0140
15. ay:-0.0105, gx:+0.0172
16. ay:-0.0076, gx:+0.0165
17. ay:-0.0076, gx:+0.0164
18. ay:-0.0044, gx:+0.0172
19. ay:-0.0059, gx:+0.0124
20. ay:-0.0112, gx:+0.0133
21. ay:-0.0012, gx:+0.0144
22. ay:+0.0120, gx:+0.0109
23. ay:-0.0085, gx:+0.0149
24. ay:-0.0107, gx:+0.0133
25. ay:-0.0078, gx:+0.0143
26. ay:-0.0088, gx:+0.0149
27. ay:-0.0056, gx:+0.0169
28. ay:-0.0105, gx:+0.0112
29. ay:-0.0063, gx:+0.0132
30. ay:-0.0071, gx:+0.0171
31. ay:-0.0056, gx:+0.0160
32. ay:-0.0088, gx:+0.0152
33. ay:-0.0037, gx:+0.0121
34. ay:-0.0063, gx:+0.0180
35. ay:-0.0125, gx:+0.0148
36. ay:-0.0081, gx:+0.0139
37. ay:-0.0046, gx:+0.0169
38. ay:-0.0046, gx:+0.0156
39. ay:-0.0049, gx:+0.0164
40. ay:-0.0081, gx:+0.0164
41. ay:-0.0100, gx:+0.0149
42. ay:-0.0142, gx:+0.0181
43. ay:-0.0142, gx:+0.0155
44. ay:-0.0071, gx:+0.0137
45. ay:-0.0049, gx:+0.0156
46. ay:-0.0049, gx:+0.0137
47. ay:-0.0063, gx:+0.0151
48. ay:-0.0066, gx:+0.0173
49. ay:-0.0090, gx:+0.0153
50. ay:-0.0149, gx:+0.0172
51. ay:-0.0042, gx:+0.0165
52. ay:-0.0073, gx:+0.0161
53. ay:-0.0056, gx:+0.0155
54. ay:-0.0015, gx:+0.0139
55. ay:-0.0049, gx:+0.0161
56. ay:-0.0037, gx:+0.0168
57. ay:-0.0046, gx:+0.0169
58. ay:-0.0081, gx:+0.0141
59. ay:-0.0054, gx:+0.0128
60. ay:-0.0005, gx:+0.0120
61. ay:-0.0032, gx:+0.0167
62. ay:-0.0027, gx:+0.0127
63. ay:-0.0066, gx:+0.0143
64. ay:-0.0066, gx:+0.0125
65. ay:-0.0027, gx:+0.0135
66. ay:+0.0020, gx:+0.0145
67. ay:-0.0049, gx:+0.0136
68. ay:-0.0027, gx:+0.0105
69. ay:-0.0076, gx:+0.0145
70. ay:-0.0061, gx:+0.0139
71. ay:-0.0083, gx:+0.0141
72. ay:-0.0103, gx:+0.0124
73. ay:-0.0078, gx:+0.0148
74. ay:-0.0098, gx:+0.0148
75. ay:-0.0022, gx:+0.0135
76. ay:-0.0005, gx:+0.0140
77. ay:-0.0034, gx:+0.0120
78. ay:-0.0037, gx:+0.0147
79. ay:-0.0149, gx:+0.0136
80. ay:-0.0081, gx:+0.0155
81. ay:-0.0110, gx:+0.0152
82. ay:-0.0059, gx:+0.0121
83. ay:-0.0137, gx:+0.0133
84. ay:-0.0071, gx:+0.0132
85. ay:-0.0129, gx:+0.0129
86. ay:-0.0085, gx:+0.0115
87. ay:-0.0117, gx:+0.0168
88. ay:-0.0100, gx:+0.0175
89. ay:-0.0054, gx:+0.0156
90. ay:-0.0110, gx:+0.0180
91. ay:-0.0039, gx:+0.0135
92. ay:-0.0093, gx:+0.0156
93. ay:-0.0088, gx:+0.0129
94. ay:-0.0098, gx:+0.0143
95. ay:-0.0107, gx:+0.0128
96. ay:-0.0054, gx:+0.0149
97. ay:-0.0066, gx:+0.0137
98. ay:-0.0059, gx:+0.0161
99. ay:-0.0063, gx:+0.0143
