0. sec: +0.0, ay: +0.3782, gx: +0.5428, angle: 0
1. sec: +0.0, ay: +0.3882, gx: +0.4718, angle: 0
2. sec: +0.0, ay: +0.3894, gx: +0.4463, angle: 0
3. sec: +0.0, ay: +0.3924, gx: +0.4246, angle: 0
4. sec: +0.0, ay: +0.3887, gx: +0.4021, angle: 0
5. sec: +0.0, ay: +0.3894, gx: +0.3900, angle: 0
6. sec: +0.0, ay: +0.3850, gx: +0.3836, angle: 0
7. sec: +0.0, ay: +0.3826, gx: +0.3800, angle: 0
8. sec: +0.0, ay: +0.3728, gx: +0.4117, angle: 0
9. sec: +0.0, ay: +0.3982, gx: +0.3745, angle: 0
10. sec: +0.0, ay: +0.3831, gx: +0.3768, angle: 0
11. sec: +0.0, ay: +0.3843, gx: +0.3738, angle: 0
12. sec: +0.0, ay: +0.3853, gx: +0.3837, angle: 0
13. sec: +0.0, ay: +0.3965, gx: +0.3914, angle: 0
14. sec: +0.0, ay: +0.3899, gx: +0.4014, angle: 0
15. sec: +0.0, ay: +0.3943, gx: +0.4101, angle: 0
16. sec: +0.0, ay: +0.3926, gx: +0.4222, angle: 0
17. sec: +0.0, ay: +0.3967, gx: +0.4319, angle: 0
18. sec: +0.0, ay: +0.3933, gx: +0.4434, angle: 0
19. sec: +0.0, ay: +0.3933, gx: +0.4534, angle: 0
20. sec: +0.0, ay: +0.3994, gx: +0.4583, angle: 0
21. sec: +0.0, ay: +0.3953, gx: +0.4623, angle: 0
22. sec: +0.0, ay: +0.4029, gx: +0.4695, angle: 0
23. sec: +0.0, ay: +0.4092, gx: +0.4786, angle: -1
24. sec: +0.0, ay: +0.4087, gx: +0.4835, angle: -1
25. sec: +0.0, ay: +0.4131, gx: +0.4867, angle: -1
26. sec: +0.0, ay: +0.4195, gx: +0.4937, angle: -1
27. sec: +0.1, ay: +0.4221, gx: +0.5004, angle: -1
28. sec: +0.1, ay: +0.4219, gx: +0.5111, angle: -1
29. sec: +0.1, ay: +0.4241, gx: +0.5261, angle: -1
30. sec: +0.1, ay: +0.4226, gx: +0.5428, angle: -1
31. sec: +0.1, ay: +0.4187, gx: +0.5536, angle: -1
32. sec: +0.1, ay: +0.4180, gx: +0.5710, angle: -1
33. sec: +0.1, ay: +0.4231, gx: +0.5853, angle: -1
34. sec: +0.1, ay: +0.4300, gx: +0.5962, angle: -1
35. sec: +0.1, ay: +0.4336, gx: +0.6095, angle: -1
36. sec: +0.1, ay: +0.4390, gx: +0.5841, angle: -1
37. sec: +0.1, ay: +0.4400, gx: +0.6366, angle: -1
38. sec: +0.1, ay: +0.4451, gx: +0.6194, angle: -1
39. sec: +0.1, ay: +0.4480, gx: +0.6671, angle: -1
40. sec: +0.1, ay: +0.4549, gx: +0.6516, angle: -2
41. sec: +0.1, ay: +0.4422, gx: +0.6992, angle: -2
42. sec: +0.1, ay: +0.4439, gx: +0.7090, angle: -2
43. sec: +0.1, ay: +0.4446, gx: +0.6859, angle: -2
44. sec: +0.1, ay: +0.4324, gx: +0.7284, angle: -2
45. sec: +0.1, ay: +0.4373, gx: +0.7377, angle: -2
46. sec: +0.1, ay: +0.4268, gx: +0.7406, angle: -2
47. sec: +0.1, ay: +0.4324, gx: +0.7427, angle: -2
48. sec: +0.1, ay: +0.4170, gx: +0.7392, angle: -2
49. sec: +0.1, ay: +0.4412, gx: +0.7278, angle: -2
50. sec: +0.1, ay: +0.4414, gx: +0.7074, angle: -2
51. sec: +0.1, ay: +0.4453, gx: +0.7178, angle: -2
52. sec: +0.1, ay: +0.4592, gx: +0.6537, angle: -2
53. sec: +0.1, ay: +0.4517, gx: +0.6276, angle: -2
54. sec: +0.1, ay: +0.4668, gx: +0.6063, angle: -3
55. sec: +0.1, ay: +0.4817, gx: +0.5913, angle: -3
56. sec: +0.1, ay: +0.4793, gx: +0.5827, angle: -3
57. sec: +0.1, ay: +0.4827, gx: +0.5819, angle: -3
58. sec: +0.1, ay: +0.4800, gx: +0.5925, angle: -3
59. sec: +0.1, ay: +0.4878, gx: +0.6131, angle: -3
60. sec: +0.1, ay: +0.4683, gx: +0.6411, angle: -3
61. sec: +0.1, ay: +0.4607, gx: +0.6635, angle: -3
62. sec: +0.1, ay: +0.4466, gx: +0.6522, angle: -3
63. sec: +0.1, ay: +0.4387, gx: +0.7120, angle: -3
64. sec: +0.1, ay: +0.4290, gx: +0.7329, angle: -3
65. sec: +0.1, ay: +0.4270, gx: +0.7493, angle: -3
66. sec: +0.1, ay: +0.4295, gx: +0.7547, angle: -3
67. sec: +0.1, ay: +0.4365, gx: +0.7862, angle: -3
68. sec: +0.1, ay: +0.4329, gx: +0.7397, angle: -3
69. sec: +0.1, ay: +0.4524, gx: +0.7193, angle: -4
70. sec: +0.1, ay: +0.4739, gx: +0.6960, angle: -4
71. sec: +0.1, ay: +0.4878, gx: +0.6640, angle: -4
72. sec: +0.1, ay: +0.5003, gx: +0.6342, angle: -4
73. sec: +0.1, ay: +0.5022, gx: +0.6087, angle: -4
74. sec: +0.1, ay: +0.4973, gx: +0.5846, angle: -4
75. sec: +0.1, ay: +0.5137, gx: +0.5644, angle: -4
76. sec: +0.1, ay: +0.5098, gx: +0.5518, angle: -4
77. sec: +0.1, ay: +0.4915, gx: +0.5420, angle: -4
78. sec: +0.1, ay: +0.4878, gx: +0.5384, angle: -4
79. sec: +0.1, ay: +0.4854, gx: +0.5401, angle: -4
80. sec: +0.1, ay: +0.4780, gx: +0.5474, angle: -4
81. sec: +0.1, ay: +0.4756, gx: +0.5821, angle: -4
82. sec: +0.1, ay: +0.4964, gx: +0.5497, angle: -4
83. sec: +0.2, ay: +0.5076, gx: +0.5544, angle: -4
84. sec: +0.2, ay: +0.5239, gx: +0.5570, angle: -4
85. sec: +0.2, ay: +0.5257, gx: +0.5584, angle: -5
86. sec: +0.2, ay: +0.5320, gx: +0.5554, angle: -5
87. sec: +0.2, ay: +0.5259, gx: +0.5566, angle: -5
88. sec: +0.2, ay: +0.5264, gx: +0.5641, angle: -5
89. sec: +0.2, ay: +0.5137, gx: +0.5690, angle: -5
90. sec: +0.2, ay: +0.5125, gx: +0.5817, angle: -5
91. sec: +0.2, ay: +0.5108, gx: +0.6006, angle: -5
92. sec: +0.2, ay: +0.5098, gx: +0.6234, angle: -5
93. sec: +0.2, ay: +0.5113, gx: +0.6472, angle: -5
94. sec: +0.2, ay: +0.5103, gx: +0.6683, angle: -5
95. sec: +0.2, ay: +0.5115, gx: +0.6539, angle: -5
96. sec: +0.2, ay: +0.5139, gx: +0.6990, angle: -5
97. sec: +0.2, ay: +0.5105, gx: +0.6856, angle: -5
98. sec: +0.2, ay: +0.5130, gx: +0.7317, angle: -5
99. sec: +0.2, ay: +0.5100, gx: +0.7361, angle: -5
100. sec: +0.2, ay: +0.5347, gx: +0.7411, angle: -6
101. sec: +0.2, ay: +0.5342, gx: +0.7345, angle: -6
102. sec: +0.2, ay: +0.5413, gx: +0.7325, angle: -6
103. sec: +0.2, ay: +0.5589, gx: +0.7281, angle: -6
104. sec: +0.2, ay: +0.5579, gx: +0.7234, angle: -6
105. sec: +0.2, ay: +0.5655, gx: +0.7169, angle: -6
106. sec: +0.2, ay: +0.5655, gx: +0.7125, angle: -6
107. sec: +0.2, ay: +0.5645, gx: +0.7132, angle: -6
