0. sec: +0.0, ay: -0.0105, gx: +0.0144, angle: 0
1. sec: +0.0, ay: -0.0115, gx: +0.0151, angle: 0
2. sec: +0.0, ay: -0.0061, gx: +0.0144, angle: 0
3. sec: +0.0, ay: -0.0098, gx: +0.0173, angle: 0
4. sec: +0.0, ay: -0.0081, gx: +0.0136, angle: 0
5. sec: +0.0, ay: -0.0149, gx: +0.0135, angle: 0
6. sec: +0.0, ay: -0.0088, gx: +0.0140, angle: 0
7. sec: +0.0, ay: -0.0112, gx: +0.0137, angle: 0
8. sec: +0.0, ay: -0.0090, gx: +0.0117, angle: 0
9. sec: +0.0, ay: -0.0051, gx: +0.0137, angle: 0
10. sec: +0.0, ay: -0.0129, gx: +0.0155, angle: 0
11. sec: +0.0, ay: -0.0146, gx: +0.0148, angle: 0
12. sec: +0.0, ay: -0.0078, gx: +0.0156, angle: 0
13. sec: +0.0, ay: -0.0146, gx: +0.0139, angle: 0
14. sec: +0.0, ay: -0.0073, gx: +0.0156, angle: 0
15. sec: +0.0, ay: -0.0061, gx: +0.0168, angle: 0
16. sec: +0.0, ay: -0.0066, gx: +0.0175, angle: 0
17. sec: +0.0, ay: -0.0127, gx: +0.0193, angle: 0
18. sec: +0.0, ay: -0.0093, gx: +0.0187, angle: 0
19. sec: +0.0, ay: -0.0095, gx: +0.0160, angle: 0
20. sec: +0.0, ay: -0.0083, gx: +0.0151, angle: 0
21. sec: +0.0, ay: -0.0142, gx: +0.0176, angle: 0
22. sec: +0.0, ay: -0.0046, gx: +0.0133, angle: 0
23. sec: +0.0, ay: -0.0090, gx: +0.0179, angle: 0
24. sec: +0.0, ay: -0.0083, gx: +0.0125, angle: 0
25. sec: +0.0, ay: -0.0100, gx: +0.0151, angle: 0
26. sec: +0.0, ay: -0.0088, gx: +0.0180, angle: 0
27. sec: +0.1, ay: -0.0107, gx: +0.0160, angle: 0
28. sec: +0.1, ay: -0.0090, gx: +0.0159, angle: 0
29. sec: +0.1, ay: -0.0049, gx: +0.0140, angle: 0
30. sec: +0.1, ay: -0.0103, gx: +0.0133, angle: 0
31. sec: +0.1, ay: -0.0115, gx: +0.0133, angle: 0
32. sec: +0.1, ay: -0.0088, gx: +0.0181, angle: 0
33. sec: +0.1, ay: -0.0144, gx: +0.0133, angle: 0
34. sec: +0.1, ay: -0.0142, gx: +0.0143, angle: 0
35. sec: +0.1, ay: -0.0083, gx: +0.0159, angle: 0
36. sec: +0.1, ay: -0.0095, gx: +0.0145, angle: 0
37. sec: +0.1, ay: -0.0117, gx: +0.0132, angle: 0
38. sec: +0.1, ay: -0.0134, gx: +0.0151, angle: 0
39. sec: +0.1, ay: -0.0054, gx: +0.0144, angle: 0
40. sec: +0.1, ay: -0.0085, gx: +0.0152, angle: 0
41. sec: +0.1, ay: -0.0144, gx: +0.0141, angle: 0
42. sec: +0.1, ay: -0.0105, gx: +0.0152, angle: 0
43. sec: +0.1, ay: -0.0098, gx: +0.0133, angle: 0
44. sec: +0.1, ay: -0.0112, gx: +0.0156, angle: 0
45. sec: +0.1, ay: -0.0083, gx: +0.0156, angle: 0
46. sec: +0.1, ay: -0.0088, gx: +0.0117, angle: 0
47. sec: +0.1, ay: -0.0066, gx: +0.0168, angle: 0
48. sec: +0.1, ay: -0.0081, gx: +0.0161, angle: 0
49. sec: +0.1, ay: -0.0083, gx: +0.0157, angle: 0
50. sec: +0.1, ay: -0.0061, gx: +0.0165, angle: 0
51. sec: +0.1, ay: -0.0063, gx: +0.0125, angle: 0
52. sec: +0.1, ay: -0.0068, gx: +0.0164, angle: 0
53. sec: +0.1, ay: -0.0088, gx: +0.0184, angle: 0
54. sec: +0.1, ay: -0.0090, gx: +0.0157, angle: 0
55. sec: +0.1, ay: -0.0085, gx: +0.0145, angle: 0
56. sec: +0.1, ay: -0.0071, gx: +0.0137, angle: 0
57. sec: +0.1, ay: -0.0137, gx: +0.0137, angle: 0
58. sec: +0.1, ay: -0.0100, gx: +0.0167, angle: 0
59. sec: +0.1, ay: -0.0049, gx: +0.0153, angle: 0
60. sec: +0.1, ay: -0.0144, gx: +0.0133, angle: 0
61. sec: +0.1, ay: -0.0103, gx: +0.0155, angle: 0
62. sec: +0.1, ay: -0.0085, gx: +0.0143, angle: 0
