0. sec: +0.0, ay: -0.1222, gx: -1.2366, angle: 0
1. sec: +0.0, ay: -0.1520, gx: -1.2551, angle: 0
2. sec: +0.0, ay: -0.1591, gx: -1.2797, angle: 0
3. sec: +0.0, ay: -0.1615, gx: -1.2966, angle: 0
4. sec: +0.0, ay: -0.1608, gx: -1.3123, angle: 0
5. sec: +0.0, ay: -0.1732, gx: -1.3230, angle: 0
6. sec: +0.0, ay: -0.1874, gx: -1.3244, angle: 0
7. sec: +0.0, ay: -0.1798, gx: -1.3363, angle: 1
8. sec: +0.0, ay: -0.1542, gx: -1.3440, angle: 1
9. sec: +0.0, ay: -0.1813, gx: -1.3289, angle: 1
10. sec: +0.0, ay: -0.1644, gx: -1.3371, angle: 1
11. sec: +0.0, ay: -0.1444, gx: -1.3208, angle: 1
12. sec: +0.0, ay: -0.1603, gx: -1.3623, angle: 1
13. sec: +0.0, ay: -0.1698, gx: -1.3742, angle: 1
14. sec: +0.0, ay: -0.1708, gx: -1.3912, angle: 2
15. sec: +0.0, ay: -0.1744, gx: -1.4037, angle: 2
16. sec: +0.0, ay: -0.1835, gx: -1.4155, angle: 2
17. sec: +0.0, ay: -0.1869, gx: -1.4225, angle: 2
18. sec: +0.0, ay: -0.1876, gx: -1.4201, angle: 2
19. sec: +0.0, ay: -0.1910, gx: -1.4177, angle: 2
20. sec: +0.0, ay: -0.1835, gx: -1.4018, angle: 2
21. sec: +0.0, ay: -0.1715, gx: -1.3737, angle: 3
22. sec: +0.0, ay: -0.1898, gx: -1.3838, angle: 3
23. sec: +0.0, ay: -0.1647, gx: -1.3260, angle: 3
24. sec: +0.0, ay: -0.1786, gx: -1.2860, angle: 3
25. sec: +0.0, ay: -0.1847, gx: -1.2513, angle: 3
26. sec: +0.0, ay: -0.1818, gx: -1.2209, angle: 3
27. sec: +0.1, ay: -0.1864, gx: -1.2116, angle: 3
28. sec: +0.1, ay: -0.2094, gx: -1.1422, angle: 3
29. sec: +0.1, ay: -0.2120, gx: -1.0629, angle: 4
30. sec: +0.1, ay: -0.2128, gx: -0.9993, angle: 4
31. sec: +0.1, ay: -0.2133, gx: -0.8845, angle: 4
32. sec: +0.1, ay: -0.2079, gx: -0.8195, angle: 4
33. sec: +0.1, ay: -0.1971, gx: -0.7199, angle: 4
34. sec: +0.1, ay: -0.2040, gx: -0.6112, angle: 4
35. sec: +0.1, ay: -0.1786, gx: -0.5250, angle: 4
36. sec: +0.1, ay: -0.1825, gx: -0.4049, angle: 4
37. sec: +0.1, ay: -0.1788, gx: -0.3597, angle: 4
38. sec: +0.1, ay: -0.1703, gx: -0.2664, angle: 4
39. sec: +0.1, ay: -0.1715, gx: -0.2550, angle: 4
40. sec: +0.1, ay: -0.1681, gx: -0.2217, angle: 4
41. sec: +0.1, ay: -0.1691, gx: -0.1598, angle: 4
42. sec: +0.1, ay: -0.1683, gx: -0.1432, angle: 4
43. sec: +0.1, ay: -0.1845, gx: -0.1268, angle: 4
44. sec: +0.1, ay: -0.1920, gx: -0.1148, angle: 4
45. sec: +0.1, ay: -0.1991, gx: -0.1137, angle: 4
46. sec: +0.1, ay: -0.2098, gx: -0.1137, angle: 4
47. sec: +0.1, ay: -0.2098, gx: -0.1229, angle: 4
48. sec: +0.1, ay: -0.2116, gx: -0.1389, angle: 4
49. sec: +0.1, ay: -0.2084, gx: -0.1285, angle: 4
50. sec: +0.1, ay: -0.2089, gx: -0.1708, angle: 4
51. sec: +0.1, ay: -0.2113, gx: -0.2411, angle: 4
52. sec: +0.1, ay: -0.2101, gx: -0.2849, angle: 4
53. sec: +0.1, ay: -0.2191, gx: -0.3012, angle: 4
54. sec: +0.1, ay: -0.2220, gx: -0.3866, angle: 4
55. sec: +0.1, ay: -0.2365, gx: -0.4062, angle: 4
56. sec: +0.1, ay: -0.2428, gx: -0.4965, angle: 5
57. sec: +0.1, ay: -0.2540, gx: -0.5443, angle: 5
